20:
x	y
0.227	550.384
0.227	548.358
0.229	548.358
0.231	548.358
0.231	546.245
0.233	546.245
0.233	544.132
0.233	542.106
0.235	542.106
0.237	539.994
0.239	536.472
0.242	534.359
0.242	532.246
0.244	532.246
0.244	530.837
0.246	530.837
0.248	530.837
0.248	528.724
0.249	528.724
0.249	526.698
0.251	526.698
0.251	524.672
0.253	524.672
0.255	522.646
0.255	520.620
0.257	520.620
0.259	520.620
0.259	518.507
0.260	518.507
0.260	516.482
0.261	516.482
0.263	516.482
0.263	514.456
0.265	514.456
0.265	512.430
0.267	512.430
0.269	512.430
0.269	510.325
0.270	510.325
0.270	508.299
0.272	508.299
0.274	508.299
0.274	506.186
0.276	506.186
0.278	504.073
0.280	504.073
0.281	504.073
0.283	501.960
0.285	501.960
0.285	499.934
0.286	499.934
0.288	499.934
0.290	497.908
0.292	497.908
0.292	495.882
0.294	495.882
0.294	493.856
0.295	493.856
0.297	493.856
0.297	491.830
0.299	491.830
0.301	491.830
0.301	489.804
0.303	489.804
0.305	487.778
0.307	487.778
0.307	485.752
0.308	485.752
0.308	483.639
0.310	483.639
0.312	483.639
0.314	483.639
0.314	481.526
0.315	481.526
0.317	479.500
0.319	479.500
0.321	479.500
0.321	477.474
0.323	477.474
0.327	477.474
0.328	475.361
0.330	475.361
0.332	473.335
0.334	473.335
0.335	473.335
0.337	471.309
0.339	471.309
0.341	471.309
0.341	469.196
0.343	469.196
0.345	469.196
0.345	467.084
0.347	467.084
0.348	467.084
0.350	465.675
0.352	465.675
0.354	463.562
0.358	463.562
0.360	461.449
0.362	461.449
0.364	459.423
0.365	459.423
0.367	457.397
0.369	457.397
0.369	455.371
0.371	455.371
0.373	455.371
0.375	455.371
0.375	453.258
0.377	453.258
0.378	451.849
0.380	451.849
0.383	451.849
0.385	451.849
0.387	451.849
0.389	449.736
0.391	449.736
0.392	449.736
0.394	447.710
0.396	447.710
0.397	447.710
0.399	447.710
0.399	445.598
0.401	445.598
0.403	443.485
0.404	443.485
0.406	442.076
0.410	442.076
0.412	442.076
0.414	442.076
0.415	440.050
0.416	440.050
0.418	440.050
0.420	440.050
0.421	440.050
0.423	437.937
0.425	437.937
0.427	437.937
0.429	435.824
0.431	435.824
0.432	435.824
0.434	433.711
0.436	433.711
0.440	433.711
0.440	431.685
0.444	431.685
0.447	431.685
0.449	431.685
0.451	431.685
0.453	431.685
0.454	431.685
0.456	431.685
0.457	431.685
0.459	431.685
0.459	429.572
0.462	429.572
0.464	427.459
0.466	426.050
0.470	426.050
0.473	426.050
0.475	423.937
0.476	423.937
0.477	423.937
0.481	421.824
0.483	421.824
0.484	421.824
0.486	421.824
0.489	421.824
0.491	419.719
0.497	419.719
0.498	419.719
0.498	417.606
0.501	417.606
0.506	415.493
0.510	415.493
0.515	415.493
0.516	415.493
0.520	413.380
0.528	413.380
0.534	413.380
0.539	411.267
0.541	411.267
0.542	411.267
0.544	411.267
0.547	411.267
0.549	409.859
0.550	409.859
0.552	409.859
0.558	407.746
0.559	407.746
0.561	407.746
0.565	405.633
0.569	405.633
0.570	405.633
0.574	405.633
0.579	403.520
0.581	403.520
0.585	403.520
0.587	403.520
0.587	402.111
0.588	402.111
0.592	402.111
0.594	402.111
0.595	402.111
0.597	400.085
0.599	400.085
0.602	402.815
0.607	402.815
0.608	402.815
0.614	400.702
0.617	400.702
0.618	400.702
0.618	398.589
0.619	398.589
0.621	396.476
0.623	396.476
0.625	396.476
0.626	396.476
0.628	396.476
0.630	396.476
0.631	396.476
0.633	396.476
0.635	396.476
0.636	396.476
0.638	396.476
0.642	396.476
0.643	396.476
0.645	396.476
0.646	396.476
0.647	396.476
0.649	396.476
0.650	396.476
0.652	396.476
0.654	396.476
0.656	396.476
0.658	396.476
0.660	396.476
0.662	396.476
0.662	394.363
0.665	394.363
0.667	394.363
0.669	394.363
0.670	394.363
0.673	392.337
0.676	392.337
0.678	392.337
0.680	390.929
0.681	390.929
0.683	390.929
0.685	390.929
0.686	390.929
0.692	390.929
0.694	390.929
0.696	390.929
0.697	390.929
0.701	390.929
0.702	390.929
0.704	390.929
0.705	390.929
0.707	390.929
0.709	390.929
0.711	389.520
0.714	389.520
0.716	389.520
0.718	389.520
0.718	388.111
